འང-དེ	vacant
སྐད-ཅིག-སྐད-ཅིག	{C}in every moment; moment by moment
སྐད-ཅིག-ཙམ	{C}a mere moment
སྐད-ཤེས	{C}knowledge of speech
སྐལ-བ-ཇི-བཞིན	{C}which corresponds to the merit
སྐལ-བ-མེད-པ	{C}impossible; unable; unfit; uncapable
སྐལ-བ-མཉམ-པ	{C}companionship
སྐར-མ	{C}constellation
སྐར-མ-ལྟ-བུའི-བསྐལ-པ	{C}star-like aeon (period of Tathāgata Suvarṇa-puṣpa)
སྐར-མའི-ཚོགས	{C}host of stars
སྐར-མདའ	{C}torch; meteor; shower of meteors
སྐར-མདའ-ལྟུང-བ	{C}shower of meteors
སྐེམ-ཤིང	{C}dry up
སྐེམས-པར-བྱེད-ཅིང	{C}dry up
སཁྱིལ-མོ-ཀྲུང-གཅིག-གིས	{C}during one single session of cross-legged meditation
སྐོམ	{C}thirsty
སྐོམ-པས-གདུངས-པ	{C}tormented by thirst; pained by thirst
སྐོར-བ-བྱ-བར-འོས-པར-འགྱུར-ཏེ	{C}worthy of being honored by circumambulation
སྐྲ	{C}hair
སྐྲ-བྲེགས	{C}shaven head
སྐྲ-ལ-ཕོག-པར	{C}split a hair; splitting a hair
སྐྲ-ཉག-མ	{C}hair
སྐྲའི-རྩེ-མོ	{C}the fine point of the tip of the hair
སྐྲག-ཅིང	{C}tremble
སྐྲག-པ	{C}terrified; trembling; worry
སྐྲག-པའི-ཡིད-ཀྱིས	{C}trembling in mind
སྐྲག-པར-འདུ-ཤེས-པས	{C}one who perceives; has a notion of
སྐྲག-སྟེ	{C}be afraid; be alarmed
སྐུ	{C}figurehead; personality; personal existence; extent; all they have and all they are; receptacle; physical (or bodily) basis; based on; foundation; by resorting to (as a basis); limbs; frame; shape
སྐུ-ཆེ-ཞིང-དྲང-བ	{C}his bodily frame is broad and straight
སྐུ-དམ-པར	{C}(true) individuality; (true) individual body
སྐུ-གདུང	{C}relics; body; dead body
སྐུ-ཉིད	{C}body; limbs
སྐུ-ཚེ-རིང-བ	{C}long life
སྐུ-ཡི-ཁོ-ལག	{C}boundary
སྐུལ-བར-བྱེད-ཅིང	{C}I am exhorted
སྐུལ-ཅིང	{C}exhort; warn against; make the charge
སྐུར-འདེབས	{GD:305} nihilism
སྐུར-བ	{C}negation; rejection; underestimation
སྐུར-བ-འདེབས	{C}negation; rejection; underestimation
སྐུར-བར-འགྱུར	{C}calumniate; misrepresent
སྐུར-པ	{C}negation; rejection; underestimation
སྐུར-པ-འདེབས	{C}negation; rejection; underestimation
སྐུར-པ-བཏབ-བྱས	{C}go away from; withdraw from; negate
སྐྱེ	{C}arise; produce; grows; (place of) rebirth; genesis; generate; give birth to; birth; species; kind; different varieties
སྐྱེ-འགྱུར	{C}arise; set up
སྐྱེ-བ	{C}rebirth; place of rebirth; genesis; arising; in his rebirths; which produces; is reborn; gain rebirth; appears; produced things; manner of birth; species; kind; different varieties; to be reborn
སྐྱེ-བ-འཕོངས-ཤིང	{C}(after they have) passed through this present birth (life); after one has died
སྐྱེ-བ-གཅིག-གིས-ཐོགས-པ	{C}bound to one more birth only
སྐྱེ-བ-མ-མཆིས-པ-རྣམ-པར-ཤེས-པར-བགྱིད-པ	{C}it is informed about non-production; without ever being reborn
སྐྱེ-བ-མ-ཡིན-པ	{C}no rebirth
སྐྱེ-བ-མེད-དང-སྐྱེ-བ	{C}non-production and production
སྐྱེ-བ-མེད-པ	{N}no production; {C}what is not co-produced
སྐྱེ-བ-པོ	{C}vermin; creature
སྐྱེ-བའི-ཆོས-ཅན	{C}subject to production
སྐྱེ-བའི-སྒོ	(C)(acting as a) door of coming into being; door of arrival
སྐྱེ-བའི-སྒོ-བཅོམ-པ	{GD:532} destroying the possibility
སྐྱེ-བར	{C}produced things; production
སྐྱེ-བར-འགྱུར	{C}is reborn; produces
སྐྱེ-བོ	{C}men; crowd of people; beasts; audience
སྐྱེ-བོ-མང-པོ	{C}many people; the many
སྐྱེ-བོ-ཕལ-ཆེར	{C}people; crowd of people; beings; beasts
སྐྱེ-བོའི-ཚོགས	{C}crowd of people; body of people; folk
སྐྱེ-དགུའི-བདག-པོ-དང-བཅས-པའི-ལྷ-རྣམས	{C}the gods around Prajāpati
སྐྱེ-མཆེད	{C}sense-field; occasion for
སྐྱེ-མཆེད-དྲུག	the six sense-fields
སྐྱེ-མཆོག	{C}supreme man
སྐྱེ-མེད	{C}unborn
སྐྱེ-མེད-བློ-ལྡན	{C}his thought on non-production
སྐྱེ-མེད-གནས-ལ	{C}to the track of non-production
སྐྱེ-ཞིང	{C}is born
སྐྱེའོ	{C}is reborn; gain rebirth; appears
སྐྱེད	{C}produces; harbors; transports; increase; strengthen
སྐྱེད-བྱེད	{C}produces; creator; begettor; genetrix
སྐྱེད-བྱེད-ཅིང	{C}arise; set up; behold
སྐྱེད-བྱེད-པ	{C}cause to grow
སྐྱེད-ཅིང	{C}extend to
སྐྱེད-མོས-ཚལ	{C}park; (pleasure) grove
སྐྱེད-པ	{C}is produced; appear; arises; genetrix; creator; begettor
སྐྱེད-པར-མཛད-པ	{C}genetrix; begettor; creator
སྐྱེལ	{C}follow; following
སྐྱེན-པ	{C}soon; hurry up with; quickly; speedily
སྐྱེས-བུ	{C}person; personality; (some)one; men
སྐྱེས-བུ-བླུན-པོ	{C}deluded person
སྐྱེས-བུ-ཆེན-པོ	{C}great man; great person; superman
སྐྱེས-བུ-དམ-པ	{C}worthy person; real man; true man
སྐྱེས-བུ-གཏི-མུག-ཅན	{C}deluded person
སྐྱེས-བུའི-འདོད-པ-ཙམ-གྱིས-བཞག-པའི-འབྲེལ-བ	{GD:785} a relation established by the mere intention of the speaker
སྐྱེས-བུའི-མཐུ	{C}(manly) doing; work
སྐྱེས-མ-ཐག-ཏུ	{C}when just born
སྐྱེས-མཆོག-ཀ-ལོ-སྒྱུར-བ	{C}hero
སྐྱེས-ན	{C}has been generated
སྐྱེས-ནས	{C}as soon as he has been reborn
སྐྱེས-པ	{C}to be unproduced from the very beginning; (manner of) birth; come forth; issued; source; creation; person; being
སྐྱེས-པའི-རབས	{C}birth-story
སྐྱེས-པའི-རབས-ཀྱི-སྡེ	{C}birth-story
སྐྱེས-རབས	{C}birth-stories
སྐྱིད	{C}safety; secure from attack
སྐྱིད-པ	{C}happiness
སྐྱོ-བ	{C}agitation; depressed; meek; disregard for worldly things; sorrow; repentance; indifference; disgust; anxious; feel exhausted; fatigue; turns back; recedes; is made to desist; is worn down; tribulation
སྐྱོ-བར-འདུ-ཤེས-པས	{C}with disgust
སྐྱོ-བར-འགྱུར-བ	{C}to feel fatigue
སྐྱོ-བར-བྱེད-པ	{C}it is a source of anxiety
སྐྱོ-བར-བྱེད-པར-འགྱུར-ན	{C}it is a source of anxiety
སྐྱོབ-ཅིང	{C}sheltering
སྐྱོབ-པ	protector; shelter; protection
སྐྱོབ-པར-བྱེད-ཅིང	{C}protects
སྐྱོན	{C}defect; hatred; fault
སྐྱོན-དུ-མི-བྱའོ	{C}free from guilt
སྐྱོན-མ-མཆིས-པ	{C}faultless
སྐྱོན-མེད	{C}certainly; (lit.: re-drawing); the way of salvation (of Śrāvakas and Pratyekabuddhas); the fixed condition (of Bodhisattvas); ripening; (distinctive) way of salvation (of Bodhisattvas); definite way of certain salvation
སྐྱོན-མེད-པ	{C}flawless; certainly; destined; definitely; established
སྐྱུག-ཅིང	{C}come (along); approach; comes to; spurts out of
སླད-དུ	{C}on account of; afterwards; behind; with the help of
སླད-རོལ-པ	{C}heretic
སླར	later
སླར-བརྟུལ	{C}draws back; withdraws
སླར-བསྡུ-བ-མཛད-པས	{C}withdrawn
སླར-དོང-སྙམ-མོ	{C}depart; go off; come out of; leave (home)
སླར-ལོག	{C}would again return
སླར-ལོག-ནས	{C}turns (his) back on; returns
སླར-ལོག-སྟེ	{C}thanks to; (has) come (in) to; (by) resorting to; when he has entered on; come; return again; because of; in the course of
སླར-ཕན-གདགས-པར-བྱ-བ	{C}repayment
སླར-སྨྲ-བ	{C}answers back
སླར-ཞིང-འབྱུང-བ	{C}increase
སློབ-དཔོན-དང-མི-ལྡན-པ	{C}devoid of proper teachers
སློབ-མ	{C}pupil; disciple
སློབ-མར-གྱུར-པ	{C}true pupil
སློབ-པ	{C}one (still) in training; trains
སློབ-པ-པོ	{C}one who trains
སློམ-སེམས-སུ-མི-བྱ-བ-བྱེད-པ	{C}does not put his mind to; no conceit
སློམ-སེམས-སུ-མི-བྱེད-པ	{C}does not put his mind to; no conceit
སློང-བ	{C}arisen (from); manifestation; arising; one who asks for something
སློང-མོ-པ	{C}beggar
སླུ-བར	{C}pass over
སླུ-བར-འགྱུར-བ	{C}go back on (e.g.:  praṇidhānam: anuttara-bodhi-viṣaye pravṛtta-praṇidhāṇam); break one's word/promise
སླུ-བར-བྱེད-པ	{C}pass over
སྨད-པ	{C}loathing; in disgust
སྨན	{C}herb; remedy; medical treatment
སྨན-པའི-མཆོག	{C}the Supreme Physician
སྨེ-བ-གནག-བག	{C}mole
སྨིན-མཚམས-ཀྱི-མཛོད-སྤུའི-ཕྲག	{C}hair-tuft between the eyebrows
སྨིན-ཚུགས	{C}eye-brows
སྨོད	{C}opposes; censure; one who deprecates
སྨོད-པར-བྱེད	{C}reviles; rejects; censures
སྨོད-པར-བྱེད-པ	{C}reviles; rejects; censures; deprecates
སྨོད-པར-བྱེད-པར-འགྱུར-ཏེ	{C}deprecates
སྨོན-ལམ	{C}vow; resolve; plans for the future; desire for the future
སྨོན-ལམ-འདེབས	{C}he makes the vow
སྨོན-ལམ-འདེབས-པ	{C}he makes the vow
སྨོན-ལམ-མི-གཏོང-བ	{C}unobstructed vow/resolve
སྨོན-མཁྱེན-པ-ཉིད	{C}cognition which results from resolve
སྨོན-ནས-མཁྱེན-པ	{C}cognition which results from resolve
སྨོན-ནས-ཤེས-པ	{C}cognition which results from resolve
སྨོན-པ	{C}resolves; vow; plans for the future; resolve; desire for the future
སྨོན-པ-མེད-པ	{C}not hopeful; no plans made for the future; no lack of vows
སྨོས	{C}how much more/less so
སྨོས-ཅི	{C}how much more/less so
སྨོས-ཅི-དགོས	{C}how much more/less so
སྨྲ	{C}utter; says
སྨྲ-བ	{C}announce; preacher; when speaking; teach; preacher; theoretician; one who asserts; acknowledge
སྨྲ-བ-ཉུང-བ	{C}soft in his speech
སྨྲ-བའི-ཟླ-བ	{C}moon of the doctrine
སྨྲ-བར-བྱེད-དོ	{C}explain
སྨྲ-མཆོག	{C}the supreme teacher
སྨྲ-ནུས-པ	{C}able to express himself
སྨྲར-མེད-པ	{C}not conventionally expressed
སྨྲས	{C}teach
སྨྲས-པ	{C}teach; declaration; spoke; he said; talking; but mumbled; talking; when spoken to
སྨྲེ-བཞིན-དུ	{C}cries out aloud
སྨྱིག-རྒྱུ	{C}mirage
སྨྱིག-རྒྱུ-ལྟ-བུ	{C}mirage-like; like a mirage; a mere mirage
སྨྱོན-ཐབས	{C}frantic
སྣ-ཚོགས	{C}all; different; distinguished; difference; manifold; multiplicity; manifoldness; differentiation; bright
སྣ-ཚོགས-འདུ-ཤེས-ཞུགས-པ	{C}intent on the perception of multiplicity
སྣ-ཚོགས-གཉིས-མེད	{GD:634} Proponents of Perceptual Non-Duality (lit., proponents of the absence of diversity)
སྣག-གི-གཉེན-མཚམས	{C}maternal relative; relation; kinsmen
སྣང	{C}(is/can be) conceived; conceive; comes under the concept of; becomes/is conceivable; have a conception of; appears; is beheld; appear bright; is equal to; manifest oneself; form; illumination; splendor; spread the light; radiance; lustre; come to hear
སྣང-བ	{C}sight; exhibit; visible; (act of) seeing; exhibition; vision; is seen; has appeared; has seen; reflection (of an object in a mirror); reflection of an object in water; image; reflected image; reflection of the moon in water; apparition; {N} appearing;
སྣང-བ-བྱེད-པ	{C}guidance
སྣང-བ-མ-མཆིས-པ	{C}imageless; non-apparent
སྣང-བ-མེད-པ	{C}imageless; non-apparent
སྣང-བ-ཉིད-ཀྱང-གཞན-ལས-ངེས-པ	{GD:736} external ascertainment of the appearance itself
སྣང-བ-རང-ལས-ངེས-ཞིང-བདེན-པ-གཞན-ལས-ངེས-པ	{GD:740} a cognition in which the appearance is ascertained [by itself] and the truth by other [cognitions]
སྣང-བའི-སྒོ-ནས-འཇུག	{GD:556} operating through appearance
སྣང-བར-འགྱུར-བ	{C}a true light
སྣང-བར-བགྱིད-པ	{C}illumination; radiance; source of light; bringing light
སྣང-བར-བྱེད-པ	{C}bring light; throw light on; guidance
སྣང-བཏགས-གཅིག-ཏུ-འདྲེས	{C}(is/can be) conceived; conceive; comes under the concept of; becomes/is conceivable; have a conception of; appears; is beheld; appear bright; is equal to; manifest oneself; form; illumination; splendor; spread the light; radiance; lustre; come to hear;
སྣང-བྱེད-སྲོག-ཆགས	{C}light-emitting animal
སྣང-དབང-གྱིས-མི-འཇུག	{GD:527} the power of appearance of real things
སྣང-ངོ	{C}appears; is beheld; appear bright; is equal to; manifest oneself; form; illumination; splendor; spread the light; radiance; lustre
སྔ-དྲོ	{C}morning; forenoon
སྔ-ལྟས	{C}symptom; indication; sign which indicates
སྔ-མ	{C}first; the first one
སྔ-ནས-བསགས-པ	{C}built up in the past
སྔ-ཕྱི	before and after; early and late
སྔ-ཕྱི-མེད-པར	{C}sooner or later
སྔ-རབས-པ	{C}built up in the past; {GD:550} previous [thinkers]
སྔ-རོལ-གྱི-ཡང-ཆེས-སྔ-རོལ	{C}farther and farther away from
སྔགས-ཀྱི-རིགས	{C}muttering
སྔགས-པ-བསྒྲུབ-པ	{C}evocation of mantras
སྔར-གདའ-བའི	{C}is seen; has appeared; has seen
སྔར-གྱི-མཚན-མ	{C}symptom; (a certain) sign; which indicates; indication
སྔོན	{C}first; formerly; before; first of all; up to now; so far; in the past; previously described; of the past
སྔོན-ཆད	{C}in the past(?)
སྔོན-ཆད-མ	{C}which he had not had before
སྔོན-ཆད-པར	{C}when in the past he served
སྔོན-ཆད-སྤྱད-པར	{C}when in the past he served
སྔོན-ཆད-སྤྱོད-པའི-ཚེ	{C}when in the past he served
སྔོན-དུ-འགྲོ-བ	{C}preceeded; controller; directs; controls; controlled by; controlled
