འལ-འོལ	{འལ་ལེ་འོལ་ལེ} vague/ imprecise
སུན-འབྱིན-པ	to disown; to be discouraged/ disheartened/ disenchanted; - to undermine/ attack/ disprove [another's philosophical position]
སུན-འབྱིན-པའི-སྟོབས	power of disenchantment (i.e., with further wrongdoing)
སུན-འབྱིན-པའི-གཉེན-པོ	antidote involving direct confrontation
ཏ-ན-ག-ན	union and liberation [=sbyor sgrol]
ཏེ	te/ ste/ de - [colon or m-dash]; [can imply] " . . . ; rather, . . . "
ཐ-དད	separate/ distinct(ive) (from one another); isc. different (from one another)
ཐ-མ	at the very least . . .
ཐ-མལ	(state of) complete ordinariness; simple (state)
ཐ-སྙད	designation by consensus; conventional/ consensual designation/ fiction/ paradigm; isc. idea
ཐ-ཚིག	oath
ཐ-མལ-གྱི	(in the) ordinary/ usual/ conventional (sense)
ཐ-མལ-པ	(completely) ordinary/ usual
ཐ-མལ-གྱི-ཤེས-པ	completely ordinary/ simple awareness
ཐ-དད-པ	separate/ distinct(ive) (from one another); isc. different (from one another)
ཐ-དད-པའི-མཐའ	limitation of separateness; extreme/ limitation of separateness/ distinctness
ཐབས	(skillful/ expedient) means
ཐབས-གཅིག	( . . . dang) thabs gcig - (to be) congruent/ consistent with . . .
ཐབས-ལམ	path of skillful means
ཐབས-ཀྱི-ལམ	path of skillful means
ཐབས-མཁས-པ	skillful in means; skillful expediency
ཐད-ཀར	straightforwardly/ directly; isc. patently
ཐད-དྲང-དུ	in a straightforward manner
ཐག-པ	rope
ཐག-ཆོད-པ	decision; / gcod / bcad pa - to decide/ reach a decision; decisive experience; determination
ཐག-བསྲིང-བ	prolongation/ extension
ཐག-བསྲིང-བའི-གཉེན-པོ	antidote involving prolongation/ extension
ཐག-བསྲིང-བྱེད-པ	to prolong/ extend
ཐག-གཅོད-པ	/ chod/ bcad pa - to decide/ reach a decision; decisive experience; determination
ཐག-བཅད-པ	/ chod/ gcod pa - to decide/ reach a decision; decisive experience; determination
ཐལ	. . .r thal - to require/ follow logically; it logically follows that . . . ; isc. to reach/ arrive at/ be left with . . .
ཐལ-འགྱུར	(proponent of) the consequence/ syllogistic approach
ཐལ-ཕྱིན	penetration
ཐལ-འགྱུར-པ	(proponent of) the consequence/ syllogistic approach
ཐལ-ཆེས-པ	(to go to) the other extreme; (to be) overly confident/ presumptuous
ཐལ-ཆེ-བ	extreme; (to go to) the other extreme; (to be) overly confident/ presumptuous
ཐལ-ཕྱིན-བཞི	four penetrations; four penetrations [in Vajrakilaya teachings]
ཐམས-ཅད	entire/ whole/ all/ every
ཐམས-ཅད-དུ	{ཐམས་ཅད་དུ་.་.} in all ways . . .
ཐམས-ཅད-པ	all; under any and all circumstances
ཐམས-ཅད-པའི	under any and all circumstances
ཐམས-ཅད-སྟོང-པ	total emptiness
ཐམས-ཅད-འབྱུང-བའི	. . . from which everything arises
ཐམས-ཅད-མཁྱེན-པ	omniscient; Omniscient One [title]
ཐན	portent/ augury
ཐན-པ	drought
ཐང-ལྷོད-མེད-པ	unflagging
ཐར-པ	liberation
ཐར-པ-ཆ-མཐུན-གྱི-ལས	karma that is in accord/ harmony with liberation; isc. actions that lead/ direct one toward liberation
ཐེ-ཚོམ	doubt; (to entertain) doubt
ཐེ-ཚོམ-ཀྱི-སྒྲོ-འདོགས	speculative doubt
ཐེག-པ	spiritual approach
ཐེག-པ-དགུ	{ཐེག་པ་རིམ་པ་དགུ} nine (stages of) spiritual approaches
ཐེག-པ-གསུམ	three yanas/ spiritual approaches
ཐེག-པ-རིམ-པ-དགུ	nine (stages of) spiritual approaches
ཐེག-པ-ཆེན-པོ	greater appraoch/ mahayana
ཐེག-པ-ཆུང-ངུ	lesser approach/ hinayana
ཐེར-ཟུག	constant
ཐེར-ཟུག-པ	constant
ཐིབས-སེ-ཐིབ	(to gather) in throngs/ throng (together) densely/ thickly
ཐིག-ལེ	bindu; sphere (of being); edgeless expanse; isc. drop
ཐིག-ལེའི-ཀློང	expansive sphere
ཐིག-ལེ-གཅིག	universal sphere/ edgeless expanse
ཐིག-ལེ-ཉག-གཅིག	unique sphere (of being)/ edgeless expanse
ཐིག-ལེ-སྟོང-པའི-སྒྲོན-མ	lamp of empty spheres*
ཐིམ-པ	to dissolve/ be absorbed (into)
ཐིམ-ལ-མ-རྨུགས-པ	indwelling/ inwardly directed but not dull
ཐོབ-བྱ	object of attainment; what is/ factor to be attained/ acquired; object of attainment/ acquisition
ཐོབ-བྱེད	factor of attainment; means/ factor of attainment
ཐོབ-པ	acquisition; to attain/ achieve/ acquire/ gain
ཐོད-རྒལ	surpassing ordinary experience/ the pinnacle point; (making) the final leap (into primordial being)*
ཐོག-འབུབས	dome (of mansion)
ཐོག-མའི	original; initial/ first; (at/ as the) source; (at the very) beginning; isc. primordial(ly)
ཐོག-ཏུ	. . . thog tu - [in cases of rig pa, for example] (directly) in the immediacy of . . . ; in the immediate presence/ perception/ moment/ instant/ fact of . . . [in cases of sems + yul, for example] in direct/ immediate response to . . .
ཐོག-མཐའ-མེད-པ	beginningless and endless; without beginning or end
ཐོག-མཐའ-བར-མེད	without beginning, middle, or end
ཐོག-བབས-ཆེན-པོ	supreme and innate (state of) immediacy
ཐོག-བབས-ཆེན-པོའི-ཏིང-ངེ-འཛིན	meditative absorption as the supreme and innate state of immediacy
ཐོག-མའི-དབྱིངས	original basic space; basic space as/ at the source
ཐོག-མའི-མགོན-པོ	original guide
ཐོག-མ-མེད-པའི-དུས	beginningless time
ཐོག-མ-མེད-པའི-དུས-ཀྱི-དབྱིངས	basic space of beginningless time
ཐོག-ཏུ-བབ-པ	{ཐོག་ཏུ་འབེབས་པ} to (be of) immediate concern/ concern for the moment
ཐོག-ཏུ-འབེབས-པ	{ཐོག་ཏུ་བབ་པ} to (be of) immediate concern/ concern for the moment
ཐོགས-བཅས	{ཐོགས་པ་དང་བཅས་པ} involving impediment/ impeded; material; obstructive; obstructed
ཐོགས-མེད	{ཐོགས་པ་མེད་པ} without impediment/ unimpeded(ness); unhindered; immaterial; unobstructed (one of seven vajra qualities); nonobstructive; Asanga
ཐོགས-པ	'dogs/ gdag/ btags/ - to apply/ attach (a label); to designate/ label; to refer to
ཐོགས-པ-དང-བཅས-པ	obstructed; involving impediment/ impeded; material; obstructive
ཐོགས-པ-མེད-པ	without impediment/ unimpeded(ness); unhindered; immaterial; unobstructed (one of seven vajra qualities); nonobstructive; Asanga
ཐོལ-བྱུང	{ཐོལ་གྱིས་བྱུང་བ} (to) spring/ burst forth suddenly
ཐོལ-གྱིས-བྱུང-བ	(to) spring/ burst forth suddenly
ཐོམ-ཡོ-རེ-བ	bewildered/ dazed/ dumfounded
ཐོན-པ	to emerge/ come forth/ issue; to make an entrance (in dance)
ཐོན-སྟངས	entrance stance (in dance)
ཐོས-པ	hearing (teachings); study
ཐུད	soft creamy cheese; residue on the side of a milking bucket [Khenpo Ngaga's metaphor for buildup of mental accretions/ habits]
ཐུག	. . . la thug - to come/ boil down to . . . ; to amount to . . .
ཐུག-མེད	infinite; ad infinitum; not touching/ coming in contact
ཐུག-ཕྲད	direct encounter
ཐུག-པ-མེད-པ	infinite; ad infinitum; not touching/ coming in contact
ཐུག-ཕྲད-རྣམ-གསུམ	threefold direct encounter [=? cf. Chos dbyings mdzod, fol. 118.a.5: shes pa thug phrad/ snang ba thug phrad/ rig pa thug phrad]
ཐུགས	(enlightened) mind
ཐུགས-བརྩེ	caring/ affectionate love
ཐུགས-དམ	(personal) spiritual practice; sacred bond
ཐུགས-རྗེ	(innate) responsiveness*; isc. greatness of mind
ཐུགས-དམ-བསྐང-བ	{།་སྐོང་བ} to fulfill the sacred bond (with . . . )
ཐུགས-དམ-སྐོང-བ	{།་བསྐང་བ} to fulfill the sacred bond (with . . . )
ཐུགས-རྗེ-ལྟར-ཤར-བ	arising (in a manner) consistent with the greatness of mind/ innate responsiveness*
ཐུགས-རྗེ-ཆེན-པོ	supreme innate compassion
ཐུགས-རྗེ-ཀུན-ཁྱབ	omnipresence/ all-pervading presence
ཐུགས-རྡོ-རྗེ	mind vajra
ཐུགས-སུ-ཆུད-པ	(to gain) inner mastery (of . . . )
ཐུན	{ཐུན་རྫས} power substance. formal practice session
ཐུན-མིན	extraordinary
ཐུན-མོང	ordinary; ordinary/ usual; typical
ཐུན-མཚམས	postmeditation (activity) between formal practice sessions
ཐུན-རྫས	power substance
ཐུན-མོང-གི	ordinary/ usual; typical
ཐུན-མོང-གི-དངོས-གྲུབ	ordinary spiritual attainments/ siddhis
ཐུན-མོང-མ-ཡིན-པའི	extraordinary
ཐུར-སེལ-གྱི-རླུང	downward moving subtle energy (governing excretion reproductive functions)
ཏིང-འཛིན	(state of deep) meditative absorption/ samadhi; isc. profound meditative state (of)
ཏིང-ངེ-འཛིན	(state of deep) meditative absorption/ samadhi; isc. profound meditative state (of)
ཏིང-ངེ-འཛིན-གསུམ	[in mahayoga] three states of samadhi/ meditative absorption; [in trekchö] three aspects of meditative absorption
ཙམ	{ཙམ་དུ} (to be) mere(ly); simple/ (simply); only; even . . . ; isc. purely
ཙམ-དུ	(to be) mere(ly); simple/ (simply); only; even . . . ; isc. purely
ཙམ-ལས	{.་.་.་ཙམ་ལས} . . . and nothing more (than that); isvfc. Other than than, . . .
ཙམ-དུ-ཟད	{.་.་.་ཙམ་དུ་ཟད} to amount/ boil down t - o/ what amounts to nothing more than/ only/ simply/ merely . . . ; isc. one is reduced/ forced simply/ merely to . . .
ཚ-བ	heat; hot; to be hot
ཚ-གྲང	temperature
ཚད	(verb root) {ཚད} all that . . .. (full) expression/ measure; extent; dimension(s); size
ཚད-ལྡན	{ཚད་དང་ལྡན་པ} authentic(ally qualified)/ genuine; authentic measure/ expression
ཚད-མ	valid cognition; authentic (standard)/ standard of authenticity
ཚད-དང-ལྡན-པ	authentic(ally qualified)/ genuine; authentic measure/ expression
ཚད-དུ-ཕྱིན	to (have) reach(ed) full expression/ measure
ཚད-མེད-བཞི	four immeasureable attitudes
ཚང	nest, den; isc. matrix
ཚང-བ	(to be) complete/ whole
ཚང-བུག	{ཚངས་བུག} terminal cranial aperture (lambda)
ཚངས-བུག	terminal cranial aperture (lambda)
ཚངས-པ	Brahma/ God; pure/ chaste
ཚངས-སྤྱོད	{ཚངས་པར་སྤྱོད་པ} (to observe) celibate lifestyle
ཚངས-པར-སྤྱོད-པ	(to observe) celibate lifestyle
ཚངས-པར-བྱེད-པ	to grant absolution/ absolve; {།་མཛད་པ} to grant absolution/ absolve
ཚངས-པ-ལྷ-ཡི-མེ-ཏོག	Pure Flower of the Gods (epithet of Tibetan king Khri srong lDe'u btsan)
ཚར-གཅོད-པ	{ཚར་བཅད་པ} to annihilate
ཚར-བཅད-པ	to annihilate; {ཚར་གཅོད་པ} to annihilate
ཚེ	life (expectancy)/ longevity; lifetime. {.་.་.་ཀྱི་ཚེ} once one has . . . ; at the time/ on the occasion of . . . ; in the context of . . .
ཚེ-འགུགས	(ritual for) summoning the forces of longevity
ཚེ-མདའ	longevity arrow
ཚེ-རབས	(succession of) lifetimes
ཚེ-སྒྲུབ	longevity practice/ sadhana
ཚེ-ལ-དབང-བའི-རིག-འཛིན	master/ holder of awareness with power over longevity*
ཚེ-དབང-རིག-འཛིན	{ཚེ་ལ་དབང་བའི་རིག་འཛིན} master/ holder of awareness with power over longevity*
ཚི-ཆད	fatigue/ exhaustion; fatiguing/ exhausting
ཚིག	word; label
ཚིག-དབང	word empowerment/ empowerment through words
ཚིག-གསུམ-གནད-བརྡེགས	Three Lines that Hit On the Key Points (title of dGa' rab rDo rje's last testament)
ཚིག-གི-རྒྱུད	tantra as literature; literary tantra/ tantra as literature
ཚིག-གི-ཚོགས	sentences; groups of inflected words
ཚིམ-པ	to be satisfied; satisfaction
ཚོད-བཙུགས-པ	to take as the standard
ཚོགས	multitude/ gathering/ host; isc. legions [of protectors], hordes [of demons]
ཚོགས-འཁོར	ganachakra; {ཚོགས་ཀྱི་འཁོར་ལོ} ganachakra/ feast gathering
ཚོགས-བརྒྱད	eight modes/ avenues (of ordinary consciousness)
ཚོགས-དྲུག	six modes/ avenues (of ordinary consciousness)
ཚོགས-གཉིས	two accumulations/ stores
ཚོགས-ལམ	path of accumulation
ཚོགས-མཆོད	feast offering; {ཚོགས་ཀྱི་མཆོད་པ} ganapuja/ feast offering
ཚོགས-པ	to collect/ gather/ assemble; gathering/ assembly; formal religious service
