ཀུད	{ཀུད} ND.gives as the present of {བཀུ}.
རྫོང	Present: {རྫོང} KYN, TD, LZ, ND, DK, DS, TC. {རྫོངས} CD. \nPast: {བརྫངས} KYN, TD, LZ, CD, ND, DK, DS, TC. {རྫོངས} CD.\nFuture: {བརྫང} KYN,\n KYNZ gives both brdzang and brdzeng the second certainly a scribal error. TD, LZ, CD, ND, DK, DS, TC.\nImperative: {རྫོངས} KYN, TD, LZ, ND, DK, DS, TC. \nVoluntary: KYN, TD, CD, ND, DS, TC, (Hoshi 2003).\nTransitive: DS, TC.\nCharacteristic Example: {འགྲོན་པོ་སོགས} TD.{མགྲོན་པོ་སོགས་གཞན་དུ} LZ. {ཕར་ལ་གླུང} NDB. {ཕར་ལ་གླུང་སོགས} NDA.\nMeaning: To forward, send off, dispatch, to take along with CD. To send off, send, dispatch, to put in, insert DK. 1. To send, send off, convey, commission (a guest &c.). 2.To put something inside a vessel DS. 1. To banish, expel. 2. To send, dispatch, commission. 3. To insert TC.
རྫོད	Present: {རྫོད} LZ, TC. \nPast: {བརྫད} LZ, TC.\nFuture: {བརྫད} LZ, TC.\nImperative: {རྫོད} LZ, TC.\nVoluntary: TC.\nTransitive: TC.\nCharacteristic Example: {གྲོགས་ངན་སོགས} LZ.\nMeaning: To spoil, stain TC.
རྫོབ	Present: {རྫོབ} DK, TC. \nPast: {བརྫབས} DK, TC.\nFuture: {བརྫབ} DK, TC.\nImperative: {རྫོབས} DK, TC.\nVoluntary: TC.\nTransitive: TC.\nMeaning: To appear as a real one, to hide the reality with an artificial appearance, to mix up DK. 1. To add, augment. 2. To conceal, obscure, veil TC.
བརྫེ	{བརྫེ} LZ. gives as the present of {རྫེ} 
ཞ	 see {འཇའ}|{ཞ} DS, TC. give as a present of {འཇའ}. 
ཞག	{ཞག} (Gyurme 1992: 261) gives as the present of {བཞག}.
ཞར	Present: {ཞར} DK, DS, TC. \nPast: {ཞརད} DK. {ཞར} [DS], TC.\nFuture: {ཞར} DK, DS, TC.\nImperative: {ཞརད} DK. - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: DS, TC.\nMeaning: To become one-eyed, be defective [on] one side of a pair CD. To go blind, be blinded DS. To go blind, for an eye to be lost or damaged TC.
ཞལ	Present: {ཞལ} CD, DS. \nPast: {ཞལ} [DS].\nFuture: {ཞལ} [DS].\nTransitive: DS.\nMeaning: To plaster with lime or cement, to plaster, or overlay with anything (e.g. butter) CD. To spread (mud &c.) thickly DS.
ཞི	Present: {ཞི} CD, DK, DS, TC. \nPast: {ཞི} DK, [DS], TC.\nFuture: {ཞི} DK, [DS], TC.\nImperative: {ཞི} DK. - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nMeaning: 1. To be peaceful, calm, to be pacified, be appeased, to settle be allayed, assuaged &c. 2. To be wise, dispassionate CD. To be, become peaceful, to subdue, make without DK. To disappear DS To diminish, fade away TC.
ཞུ	 Present: {ཞུ} TC. \nPast: {ཞུ} TC.\nFuture: {ཞུ} TC.\nImperative: - TC.\nInvoluntary: TC.\nIntransitive: TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nResultative of: {འཇུ} (Gyurme 1992: 261), (Duff).\nMeaning: To melt, become liquid TC. | see {འཇུ}| {ཞུ} LZ. gives as the present of {འཇུ}  |Present: {ཞུ} LZ, CD, ND, DK, DS, TC. \nPast: {ཞུས} LZ, CD, ND, DK, DS, TC.\nFuture: {ཞུ} LZ, ND, DK, DS, TC.\nImperative: {ཞུས} LZ, ND, DK, DS, TC. - ND.\nVoluntary: ND, DS, TC, (Hoshi 2003).\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: {བཀའ་ཆོས་སོགས} LZ. {གནང} ND. \nMeaning: (used chiefly in addressing one's superiors and also in politeness between equals) To ask, request, beg, petition CD. To inform, request, receive, send DK. To speak a hope, wish &c. to superiors DS. 1. To speak to superiors. 2. To pour, to take (e.g. tea) TC. 
ཞུགས	 see {འཇུག}|Present: {ཞུགས} DS. \nPast: {ཞུགས} [DS].\nFuture: {ཞུགས} [DS].\nInvoluntary: (Hoshi 2003).\nIntransitive: DS.\nResultative of: {འཇུག} (Gyurme 1992: 259).\nMeaning: 1. To fit into (e.g. a crowd). 2. To mix inside. 3. To support, link. 4. To follow after DS. 
ཞུད	Present: {ཞུད} CD, DK, DS, TC. \nPast: {ཞུད} DK, [DS], TC.\nFuture: {ཞུད} DK, [DS], TC.\nImperative: {ཞུད} DK. - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: DS, TC.\nMeaning: 1. [To be] emaciated, to be reduced, to fall, to be weak, grow weak, to dwindle. 2. To twine, to twist, to spin (Cs.). 3. To hang up, to suspend (in Tsang) CD. To decay, to decline DK. To become small, thin, emaciated DS. 1. To hang down, bend down. 2. To deteriorate, to weaken TC.
ཞུམ	Present: {ཞུམ} CD, DS, TC. {འཇུམས} DK.\nPast: {ཞུམ} DK, [DS], TC.\nFuture: {འཇུམ} DK. {ཞུམ} [DS], TC.\nImperative: {ཞུམས} DK.- TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nMeaning: (honorific) To cry, weep, lament CD, DS. To become physically weak; to become timid, cowardly DK. To be cowardly TC.\nNote: This is also written {ཤུམ} DS.
ཞུར	Present: {ཞུར} LZ. \nPast: {བཞུར} LZ.\nFuture: {བཞུར} LZ.\nImperative: {ཞུརད} LZ.\nCharacteristic Example: {མེས} LZ.\nNote: Compare {བཞུར} , and {གཞུར}.
ཞུལ	Present: {ཞུལ} DS. \nPast: {ཞུལ} [DS].\nFuture: {ཞུལ} [DS].\nMeaning: To become fewer, less (blotted, swollen &c.) DS.
ཞེད	Present: {ཞེད} LZ, CD, DK, TC. \nPast: {ཞེད} LZ, DK, TC. {བཞེད} [CD].\nFuture: {ཞེད} LZ, DK, TC.\nImperative: {ཞེད} LZ, DK. - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: TC.\nCharacteristic Example: {ཡིད་ལ} LZ.\nMeaning: To fear, be afraid CD. To be frightened, to fear DK. To fear TC.
ཞེན	Present: {ཞེན} LZ, CD, DK, DS, TC. \nPast: {ཞེནད} LZ, DK. {ཞེན} [DS], TC.\nFuture: {ཞེན} LZ, DK, [DS], TC.\nImperative: {ཞེནད} LZ, DK. {ཞེན} [DS], TC.\nInvoluntary: TC.\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] CD, (Hackett 2003).\nCharacteristic Example: {ཡོ་བྱད་སོགས་ལ} LZ.\nMeaning: (used with la) To desire, to long for, to be attached to, to have affection for CD. To have attachment, to long for DK. To crave, to cherish. 2. (of a question &c.) To be hard to answer DS. To like, to love TC.
ཞོགས	 see {གཞོག} | see {འཇོག}| {ཞོགས} LZ. gives as the present of {འཇོག}  |Present: {ཞོགས} DS. \nPast: {ཞོགས} [DS].\nFuture: {ཞོགས} [DS].\nMeaning: For many creatures to be startled and flee DS. 
ཞོན	Present: {ཞོན} LZ, CD, DK, DS, TC. \nPast: {བཞོནད} LZ, DK. {བཞོན} DS, TC.\nFuture: {བཞོན} LZ, DK, DS, TC.\nImperative: {ཞོནད} LZ, DK. {ཞོན} DS, TC.\nVoluntary: DS, TC, (Hoshi 2003).\nIntransitive: DS.Intransitive: TC.\nSyntax: [Abs. Obl.] (Byams pa rdo rje 1996), (Zeisler forthcoming: 31). [Erg. Abs.] (Hackett 2003), (Zeisler forthcoming: 31).\nCharacteristic Example: {རྟ་སོགས} LZ.\nMeaning: To ride, mount (A.K. 1-8) CD. To ride, to sit on a horse DK. To ride (a horse, yak, bicycle &c.) DS. To ride TC.
ཞོམ	Present: {འཇོམ} DK. {ཞོམ} DS, TC. \nPast: {ཞོམ} DK, [DS], TC.\nFuture: {འཇོམ} DK. {ཞོམ} [DS], TC.\nImperative: {ཞོམས} DK. - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: DS, TC.\nResultative of: {འཇོམས} NWH.\nMeaning: To go down, sink down; to be subsided, become under control DK. For a thing with a bulbous form to crumble down, fall apart DS. For a vessel to become flawed, broken TC.
གཞགས	Present: {གཞགས} DK, [TC]. \nPast: {བཞགས} DK, [TC].\nFuture: {གཞགས} DK.\nImperative: {གཞགས} DK\nInvoluntary: ND.\nMeaning: To beautify, ornament DK. To ornament, be beautiful [TC].
གཞབས	Present: {གཞབས} LZ, [TC]. {གཞབ} CD, DS. \nPast: {བཞབས} LZ, DS. \nFuture: {གཞབས} LZ. {གཞབ} DS.\nImperative: {གཞབས} LZ. {གཞབས} DS.\nVoluntary: DS.\nTransitive: DS.\nCharacteristic Example: {ཆས་རྒྱན་སོགས་ཀྱིས} LZ.\nMeaning: 1. To rub, touch with the hand. 2. To lick (Sch.) CD. To collect in one place many small things which are scattered on the surface of liquid (e.g. butter from milk) DS. To ornament, be beautiful [TC].
གཞམ	{གཞམ} DK. gives as the present to {འཇམ}.
གཞའ	 Present: {གཞའ} CD, [TC]. \nMeaning: 1. To sport, joke, play, bowl. 2. To believe, trust, confide in CD. (archaic) To delight, be content TC. | Present: {གཞའ} DS, [TC]. {བཞའ} (DS).\nPast: {གཞའ} [DS]. {བཞའ} [(DS)].\nFuture: {གཞའ} [DS]. {བཞའ} [(DS)].\nIntransitive: DS.\nMeaning: To hide DS. (archaic) To hide TC. | {གཞའ} DS. gives as a present to {བཞའ} |Present: {གཞའ} DS. \nPast: {གཞའ} [DS].\nFuture: {གཞའ} [DS].\nIntransitive: DS.\nMeaning: To have difficulty recovering from a wound DS. 
གཞར	Present: {བཞར} LZ, ND, CD, TC.{གཞར} DK, DS, TC. \nPast: {བཞརད} LZ, ND, DK. {བཞར} DS, TC.\nFuture: {བཞར} LZ, ND, DK, TC. {གཞར} DS, TC.\nImperative: {བཞོར} LZ.{ཞོརད} ND.- ND.{གཞརད} DK. {གཞོར} DS, TC.\nVoluntary: ND, DS, TC, (Hoshi 2003).Involuntary: ND.\nTransitive: DS, TC.\nCharacteristic Example: {སྐྲ་སོགས} LZ, (zhord) ND.{སྐྲ} (-) ND.\nMeaning: To shave, shear CD. To shave, cut DK. 1. To shave. 2. To scrape the surface of something DS. 1. To shave. 2. To scrape (gzhar) TC. To cut, shave (bzhar) TC.
གཞིག	 see {འཇིག}|Present: {གཞིག} LZ, CD, DK, DS, TC. {གཞིགས} CD. \nPast: {གཞིགས} LZ, DK, DS, TC.\nFuture: {གཞིག} LZ, DK, DS, TC.\nImperative: {གཞིག} LZ, DS. {གཞིགས} DK, TC.\nVoluntary: DS, TC, (Hoshi 2003).\nTransitive: DS, TC.\nSyntax: [Erg. Obl.] (Hackett 2003).\nCharacteristic Example: {བདེན་རྫུན་གྱི་དོན་སོགས} LZ.\nMeaning: To make minute inquiry of every point, to investigate, to examine CD. To consider, to be in accordance with DK. To analyze DS. To analyze, examine TC.\nNote: Root given as gYig < *gzyig < *gzig(s) cf. gzigs "see, look" (Beyer 1992: 84). 
གཞིབ	 see {འཇིབ}|Present: {གཞིབ} LZ, CD, DK. \nPast: {གཞིབས} LZ, DK.\nFuture: {གཞིབ} LZ, DK.\nImperative: {ཞིབས} LZ. {གཞིབས} DK.\nCharacteristic Example: {གོ་རིམ་དང་གྲལ་སོགས} LZ.\nMeaning: To put, lay in order (Ja) CD. To associate closely, to stay together, to have a close relation DK. 
གཞུ	Present: {གཞུ} LZ, CD, DS, TC. \nPast: {གཞུས} LZ, DS, TC.\nFuture: {གཞུ} LZ, DS, TC.\nImperative: {གཞུས} LZ, DS, TC.\nVoluntary: DS, TC, (Hoshi 2003).\nTransitive: DS, TC.\nCharacteristic Example: {ལྕག་སོགས་ཀྱིས} LZ.\nMeaning: To strike, lash CD. To strike beat DS. To throw, strike, beat TC.
གཞུག	 see {འཇུག}|Present: {གཞུག} LZ. \nPast: {བཅུག} LZ.\nFuture: {གཞུག} LZ.\nImperative: {ཆུག} LZ.\nCharacteristic Example: {བསྟན་པ་དང་དཀྱིལ་འཁོར་སོགས་ལ} LZ.\nNote: Compare {འཇུག}. 
གཞུང	Present: {གཞུང} CD. \nPast: {གཞུངས} CD.\nMeaning: To attend, to be heedful CD.
གཞུད	Present: {གཞུད} CD. \nMeaning: To go, walk, put into (Sch.) CD.
གཞུན	Present: {གཞུན} DK. \nPast: {བཞུནད} DK.\nFuture: {བཞུན} DK.\nImperative: {གཞུནད} DK.\nMeaning: To be very active and attentive, to obey without resistance, to listen to whatever is told DK.
གཞུར	 Present: {ཞུར} LZ. {བཞུར} CD, TC. {གཞུར} DK, DS. \nPast: {བཞུརད} LZ, DK.{བཞུར} DS, TC.\nFuture: {བཞུར} LZ, DK, DS, TC.\nImperative: {ཞུརད} LZ. {གཞུརད} DK. {གཞུར} DS. {བཞུར} TC.\nVoluntary: DS, TC.\nTransitive: DS, TC.\nCharacteristic Example: {མེས} LZ.\nMeaning: To strain, filter (Sch.) CD. To strain, filter, purify DK. To clean, purify (impure water &c.) DS. To strain, purify TC. | see {འཇུར}|Present: {གཞུར} CD, DK, TC. {བཞུར} TC.\nPast: {བཞུརད} DK. {གཞུར} TC.{བཞུར} TC.\nFuture: {བཞུར} DK, TC. {གཞུར} TC.\nImperative: {གཞུརད} DK. {གཞུར} TC.{བཞུར} TC.\nVoluntary: TC, (Hoshi 2003).\nTransitive: TC.\nMeaning: To shear, shave, cut of (Ja) CD. To shave DK. To cut, carve (gzhur) TC. To sheer, cut, split (bzhur) TC.\nNote: Compare {གཞར}. 
གཞེན	Present: {གཞེན} LZ, CD. \nPast: {གཞེནད} LZ.\nFuture: {གཞེན} LZ.\nImperative: {གཞེན} LZ.\nMeaning: To light, kindle, inflame (Sch.) CD.
གཞེར	Present: {གཞེར} LZ, CD. \nPast: {གཞེརད} LZ.\nFuture: {གཞེར} LZ.\nImperative: {གཞེར} LZ.\nCharacteristic Example: {བཤེས་གཉེན་དམ་པ་སོགས} LZ.\nMeaning: To rely on, serve CD.
གཞེས	Present: {གཞེས} LZ, CD. \nPast: {གཞེས} LZ.\nFuture: {གཞེས} LZ.\nImperative: {གཞེས} LZ.\nCharacteristic Example: {དུས་དང་ཡུན་དུ} LZ.\nMeaning: 1. To be well, to prosper. 2. (honorific) To sit, stay wait (Ja) CD.
གཞོག	Present: {གཞོག} ND, DS. {བཞོག} CD.\nPast: {བཞོགས} ND, DS.\nFuture: {བཞོག} ND. {གཞོག} DS.\nImperative: {ཞོགས} ND. {གཞོགས} DS.\nVoluntary: DS.\nTransitive: DS.\nCharacteristic Example: {ཤིང་སོགས} ND.\nMeaning: To cut at, to chip CD. To slice (with a knife &c.) DS.
གཞོབ	Present: {གཞོབ} DS, TC. \nPast: {གཞོབ} [DS], TC.\nFuture: {གཞོབ} [DS], TC.\nImperative: - TC.\nInvoluntary: TC.\nTransitive: DS. Intransitive: TC.\nMeaning: To burn hair with fire DS. To burn TC.
གཞོམ	 Present: {གཞོམ} CD. \nPast: {གཞོམས} CD.\nMeaning: To be split, cracked, bruised, dinted CD. | see {འཇོམས}|Present: {གཞོམ} LZ. \nPast: {བཅོམ} LZ.\nFuture: {གཞོམ} LZ.\nImperative: {ཆོམས} LZ.\nCharacteristic Example: {རྣམ་རྟོག་དང་གྲོང་སོགས} LZ.\nNote: Compare {འཇོམས}. 
གཞོལ	 Present: {གཞོལ} LZ, CD, DK, DS, TC. \nPast: {གཞོལད} LZ, DK. {ཞོལ} (DK). {གཞོལ} [DS], TC.\nFuture: {གཞོལ} LZ, DK, [DS], TC.\nImperative: {གཞོལ} LZ, TC. {གཞོལད} DK.\nVoluntary: TC.\nTransitive: DS, TC.\nSyntax: [Erg. Obl.] (Hackett 2003).\nCharacteristic Example: {རྒྱ་མཚོ་དང་ཆོས་ཉིད་སོགས་ལ} LZ.\nMeaning: 1. To comprehend, fathom, remain fixed absorbed in. 2. To be low, open out to CD. To enter, undergo DK. To strive, exert DS. 1. To strive. 2. To enter, remain TC.|Present: {གཞོལ} CD, DK, DS, TC. \nPast: {བཞོལད} DK. {གཞོལ} [DS], TC.\nFuture: {བཞོལ} DK. {གཞོལ} [DS], TC.\nImperative: {གཞོལད} DK. - TC.\nInvoluntary: TC.\nIntransitive: DS, TC.\nSyntax: [Erg. Obl.] (Hackett 2003).\nMeaning: To flow down, alight, dismount CD. To come down, dismount DS. To descend, go down, dismount TC. 
བཞག	 see {འཇོག}|Present: {བཞག} CD, ND. {ཞག} (Gyurme 1992: 261).\nPast: {བཞག} ND.\nImperative: - ND.\nInvoluntary: ND.\nIntransitive: CD.\nResultative of: {གཤོག} (Gyurme 1992: 261).\nMeaning: 1. To tear, wear (of cloth). 2. (in Central and West) To burst, crack, split (Ja) CD. To be split, cut, to cleave (Gyurme 1992: 261). 
བཞད	 Present: {བཞད} CD, ND, DK, DS, [TC]. \nPast: {བཞད} ND, DK, [DS].\nFuture: {བཞད} DK, [DS].\nImperative: {བཞད} DK. \nIntransitive: DS.\nMeaning: To blossom, to develop like a flower (Yig 48) CD. To blossom, grow, develop DK. For the mouth of a flower to open DS. (dialect) For the mouth to open (e.g. a flower) [TC].|Present: {བཞད} CD, ND, DK, DS, TC. {གཞད} (Ja)\nPast: {བཞད} ND, DK, [DS], TC.\nFuture: {བཞད} DK, [DS], TC.\nImperative: {བཞད} DK. {བཞོད} TC.\nVoluntary: TC, (Hoshi 2003).\nIntransitive: DS, TC.\nMeaning: To laugh, smile (Ja) CD. To laugh, smile DK. (honorific) To laugh DS, TC. 
བཞམས	{བཞམས} CD, [DS]. give for {འཇམ} 
བཞའ	Present: {བཞའ} DS, [TC]. {གཞའ} DS. \nPast: {བཞའ} [DS]. {གཞའ} [DS].\nFuture: {བཞའ} [DS]. {གཞའ} [DS].\nIntransitive: DS.\nMeaning: To moisten, wet DS, TC.
བཞར	 see {གཞར}|{བཞར} LZ, ND, CD, TC. give as the present of {གཞར}  
བཞུ	 see {འཇུ}|{བཞུ} CD, TC. give as the present of {འཇུ}. 
བཞུགས	Present: {བཞུགས} LZ, ND, CD, DS, TC. \nPast: {བཞུགས} LZ, [ND], [DS], TC.\nFuture: {བཞུགས} LZ, [DS], TC.\nImperative: {བཞུགས} LZ, TC.\nVoluntary: TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nCharacteristic Example: {གདན་ཁྲི་སོགས་ལ} LZ.\nMeaning: (honorific) 1. To sit. 2. To dwell, reside. 3. To remain, stay, exit. 4. (of books) To be recorded in, to be contained CD. (honorific) To sit, remain, live DS. (honorific) To stay, sit, remain TC.
བཞུད	Present: {བཞུད} LZ, CD, DS, TC. {འཇུད} DK.\nPast: {བཞུད} LZ, DK, [DS], TC.\nFuture: {བཞུད} LZ, DK, [DS], TC.\nImperative: {བཞུད} LZ, TC.{འཇུད} DK.\nVoluntary: TC. Involuntary: (Hoshi 2003).\nIntransitive: DS, TC.\nCharacteristic Example: {རང་གནས་སོགས་སུ} LZ.\nMeaning: (honorific) To start, depart, go away CD. To journey, to set off DK. To go, travel DS. To come, arrive TC.
བཞུར	 see {གཞུར} | see {འཇུར}| {བཞུར} CD, TC.give as the present of {གཞུར}  | {བཞུར} TC. gives as the present of {གཞུར}. |Present: {བཞུར} DS. \nPast: {བཞུར} [DS].\nFuture: {བཞུར} [DS].\nIntransitive: DS.\nMeaning: To fall, drip DS. 
བཞེང	 Present: {བཞེངས} LZ, CD, TC. {བཞེང} DK, DS, (TC). \nPast: {བཞེངས} LZ, ND, DK, DS, TC.\nFuture: {བཞེངས} LZ, TC. {བཞེང} ND, DK, DS, (TC). \nImperative: {བཞེངས} LZ, DK. - ND, DS, TC.\nInvoluntary: ND, DS, TC.\nIntransitive: DS, TC.\nCharacteristic Example: {གནས་སོགས་ནས} LZ. {གདན་ལས} ND.\nMeaning: (honorific) To rise, get up CD. To rise DK. To get up, rise DS. (honorific) To get up, rise TC.|Present: {བཞེང} CD, ND, DK, DS. {བཞེངས} TC. \nPast: {བཞེངས} CD, ND, DK, DS, TC.\nFuture: {བཞེང} ND, DK, DS. {བཞེངས} TC.\nImperative: {བཞེངས} CD, ND, DK, DS, TC.\nVoluntary: ND, DS, TC, (Hoshi 2003).\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: {གདན་ནས} ND.\nMeaning: (honorific) To raise, erect, set up, to manufacture, compose (Ja) CD. To erect, to make DK. 1. To erect, make. 2. (honorific) To sing a song DS. (honorific) To newly make, erect. 2. (honorific) To raise, set, establish. 3. (honorific) To sing a song TC. 
བཞེད	Present: {བཞེད} CD, ND, DS, TC. \nPast: {བཞེད} ND, [DS], TC.\nFuture: {བཞེད} [DS], TC.\nImperative: {བཞེད} TC. - ND.\nInvoluntary: ND. Voluntary: TC.\nIntransitive: DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nMeaning: (honorific) 1. To wish, desire. 2. To propose, maintain, state, assert. 3. To accept, take CD. To promise, assert DS. 1. (honorific) To promise. 2. (honorific) To desire. 3. To know, understand TC.
