འབའ-འཛར	(PH) vajra [arch. spelling]
ཐེ-ཚོམ-པ	(PH) doubter; one who has a doubt
ཐེག-ཆེན-གྱི-ས-བཅུ	(PH) ten grounds of the Great Vehicle
ཐེག-ཆེན-རིགས-ངེས	(PH) [a person who is] definite in the Great Vehicle lineage
ཐེག-དམན-རིགས-ངེས	(PH) [a person who is] definite in the Lesser Vehicle lineage
ཐེག-དམན-ཡིད-བྱེད	(PH) mental engagement of someone on the Lesser Vehicle [path]
ཐེག-མཆོག-གོ	(PH) armor of the supreme vehicle
ཐེག-པ-རང-ལམ	(PH) the vehicle which is its own path
ཐེག-པ-རང-ལམ-གྱི-བྱ-བ	(PH) the activities of one's own path; [that is to say;] vehicle
ཐེག-པ-རང-ལམ-གྱི-མི-སློབ-ལམ	(PH) the path of no more learning of the vehicle which is own its path
ཐེར-མ	(PH) wool; serge-cloth
ཐིག	(PH) drop
ཐིག-ལྡེབ	(PH) long folio
ཐིག-ལེ-ཁྲོ-བོ-ཅན	(PH) spotted antelope
ཐིག-ཕྲེང	(PH) printed lines
ཐིག-སྡེབ	(PH) written line(s); line(s) written
ཐིག-ཚོན	(PH) colored drops
ཐོད	(PH) turban; crown; head-ornament
ཐོག	(PH) lightning
ཐོག-བབས-པ	(PH) thunderbolt; flash of lightening
ཐོག-མ-མེད-པའི-དུས-ནས	(PH) since beginningless time
ཐོག-མར-མེད	(PH) beginningless [time]
ཐོག-མེད-དུས-ནས	(PH) from beginningless time
ཐོག-མཐའ	(PH) beginning and end
ཐོག-མཐའ-བར	(PH) the beginning; middle; and end
ཐོག-ཐོག	(PH) all about
ཐོག-ཏུ	(PH) at the head of
ཐོགས-བཅས	(PH) obstruction
ཐོགས-མེད	(PH) unobstructed
ཐོན-མི	(PH) Thon-mi [Saṃbhota]
ཐོས-པའི-དོན-སྒྲ-ཇི-བཞིན-མ-ཡིན-པ	(PH) non-literal meaning of what is heard
ཐུ-ཆུངས	(PH) youngest brother
ཐུབ-བསྟན	(PH) teachings of the Subduer; teachings of [Śākya]muni
ཐུབ-པ	(PH) capacity
ཐུབ-པའི-ཐུགས	(PH) the exalted mind of the Subduer
ཐུག-གི-བར-དུ	(PH) until
ཐུག-ཐུག-ཏུ	(PH) reaching up to
ཐུགས-དམ	(PH) [object of] meditation practice
ཐུགས-ཁ	 (PH) in front (of); in the presence (of)|(PH) heart 
ཐུགས-ཁར	(PH) in front (of); in the presence (of)
ཐུན	(PH) dosage
ཐུན-གཞུག	(PH) the remainder of the session
ཐུན-ཁུང	(PH) demon box
ཐུན-མིན-མཆོག-དབང-གོང-མ-གསུམ	(PH) three higher uncommon supreme empowerments
ཐུན-མོང-མ-ཡིན-པ-ནང-གི-སྔོན-འགྲོ	(PH) the specific inner preliminaries
ཐུན-མོང-མིན-པའི-ཁྱད-ཆོས	(PH) uncommon distinguishing feature
ཐུང-ཤད	(PH) short line
ཏིང-འཛིན-མང-ལྡན	(PH) possessing many meditative stabilizations
ཏོན-མིན-པ	(PH) subitist; proponent of sudden enlightenment
ཙ-ར-ཀ	(PH) Caraka
ཙ-རི-ཀ	(PH) Caraka
ཙ-རི-ཀ-པ	(PH) Follower of Caraka
ཙམ	(PH) about; approximately
ཙམ-ཁུག	(PH) bag of tsampa
ཙན-དན-ཚལ-གྱི-དུར-ཁྲོད	(PH) Sandalwood Grove Charnel Ground (one of the eight traditional charnal grounds)
ཙནད	(PH) sandalwood
ཙནདན	(PH) sandalwood
ཙེན-མིན-པ	(PH) gradualist; proponent of gradual enlightenment
ཚ-བའི-གདོན	(PH) [beings in] hot hells
ཚབ-ཏུ	(PH) rather than
ཚད	(PH) measure; extent; certain amount
ཚད-མ-ཀུན-ལས-བསྟུས-པའི-འགྲེལ-བཤད་	(PH) [Jinendrabuddhi's] Explanation of [Dignāga's] Compendium on Valid Cognition
ཚད-མ-ཀུན-ལས-བཏུས-པ	(PH) [Dignāga's] Compendium of Valid Cognition
ཚད-མ-ཡིན-པ	(PH) being a valid cognition
ཚད-མེད-བཞི	(PH) Four Immeasurables
ཚད-མེད-པ-བཞི	(PH) Four Immeasurables
ཚད-མིན	(PH) non-valid [cognition]
ཚད-མིན-གྱི-ཞེན-རིག	(PH) non-valid [conceptual] determinitive knower
ཚད-སྐོམ	(PH) hot parching thirst
ཚལ	(PH) grove; forest; vegetables
ཚན	(PH) group
ཚན-བཅུ-གཉིས	(PH) twelve groups
ཚན-གྱི-ས	(PH) fully-qualified ground
ཚང	(PH) place; dwelling
ཚངས-བུག	(PH) Brahma (cranial) aperture
ཚངས-པའི-ལྷ	(PH) god of the Brahma abodes
ཚངས-པའི-མེ	(PH) Brahma-fire; Caṇḍalī-fire
ཚངས-པར-གྱུར-པ	(PH) being [like] Brahma
ཚངས-རིས	(PH) Brahma abodes
ཚངས-རིས-པ	(PH) one in the Brahma abodes
ཚངས-སྤྱོད	(PH) celibate practitioner
ཚར-བཅད-པའི-གནས	(PH) condition of defeat
ཚེ-འདས-པ	(PH) deceased; dead person
ཚེ-དང-ལྡན-པ-རབ-འབྱོར	(PH) venerable Subhūti
ཚེ-ལོ	(PH) life-span
ཚེ-རྟོག-པ	(PH) the thoughts concerning this life
ཚེ-སྤང-བཟའ	(PH) Lady from Tsepang [Queen to Tri-song-de-tsen]
ཚེ-སྤོང-གཟའ	(PH) Tshe-pong-za [wife of King Tri-song-de-tsen (khri srong lde btsan)]
ཚེམས	(PH) tooth
ཚེར-མ	(PH) thorn; briar
ཚེས-ཟླ	(PH) lunar month
ཚིག	(PH) word; bound morpheme
ཚིག-བླ-དགས	 (PH) synonym; epithet; appellation|(PH) synonym; epithet; appellation 
ཚིག-བླ-དྭགས	(PH) synonym; epithet; appellation
ཚིག-དོན-དྲུག	(PH) six categories [of existents]
ཚིག-དོན-གསོལ-འདེབས	(PH) seven line prayer
ཚིག-གཡུང	(PH) inauspicious words
ཚིག-གི-དོན-དྲུག	(PH) six categories [of existents]
ཚིག-རེ-ནས	(PH) word-by-word
ཚིག-ཚིག-པ	(PH) burning
ཚིག-ཟུར	(PH) indirect expression
ཚིགས	 (PH) lineage; connected | (PH) verse line; joint; combination|(PH) chapter 
ཚིགས-འབྲུ-སྒྲ-ཇི-བཞིན-གྱི-དོན	(PH) literal meaning of letters
ཚོད	(PH) amount; quantity
ཚོད-ཙམ	(PH) about as much (as)
ཚོགས	(PH) accumulation; collection; composite
ཚོགས-འཁོར	(PH) gaṇacakra feast
ཚོགས-བྲན	(PH) servant of the people
ཚོགས-ཀྱི-འཁོར-ལོ	(PH) gaṇacakra feast
ཚོགས-ཀྱི-འཁོར-ལོའི-ཆོ-ག	(PH) gaṇacakra feast ritual
ཚོགས-སྦྱོར-གཉིས	(PH) [paths of] accumulation and preparation
ཚོགས-ཙམ	(PH) mere collection
ཚོན	(PH) hue; dye; coloring; finger-joint-length
ཚོན-རྩི	(PH) colored paint
ཚོང-པའི-བུ	(PH) merchant's son
ཚོར-བ-དྲན-པ-ཉེ-བར-གཞག-པ	(PH) application of mindfulness based on feelings
ཚོར-བ-དྲན-པ-ཉེར-གཞག	(PH) application of mindfulness based on feelings
ཚུ-རོལ-མཐོང-བ	(PH) one who sees nearby [i.e. an ordinary being]
ཚུལ-བཞིན	(PH) properly; proper manner; right way
ཚུལ-བཞིན-དུ	(PH) properly; correctly
ཚུལ-དངོས	(PH) direct method; actual method
ཚུལ-གསུམ-པའི-རྟགས	(PH) three-fold proof
ཚུལ-རྣམ	(PH) mode
ཚུལ-རྣམ-གཉིས	(PH) two modes
ཚུལ-རྟགས	(PH) method of diagnosis
ཚུན-ཆད	(PH) down to and including
ཚུར	(PH) nearby
ཚུར-འབྲེལ-པ	(PH) reciprocal love
ཚུར-མཐོང	(PH) one who sees nearby [i.e. an ordinary being]
ཙོག-བུ	(PH) upright
ཙོག-ཙོག-པུ	(PH) cowering; squatting; crouching down
ཨུཏཔ-ལ	(PH) Utpala flower
ཨུཏཔ-ལ-ཅན	(PH) Utpalaka
ཨུཏཔལ	(PH) Utpala flower
ཝ-ར-ན-སི	(PH) Vārāṇasī
ཝ-ར-ནཱ-སི	(PH) Vārāṇasī
ཝཱ-ར-ཎཱ-སི	(PH) Vārāṇasī
ཝ-སི	(PH) [a kind of apple]
ཡ-མཚན	(PH) strange; miraculous
ཡ-མཚན-ཅན	(PH) hypocritical philosopher; philosophers with strange views
ཡ-མཚན-པ	(PH) miraculous events
ཡ-ང-པ	(PH) frightening
ཡ-ང-པ-ཅན	(PH) dangerous
ཡ-རྩེ	(PH) Yatse [a reagion in Ngari]
ཡ-སྟག	(PH) sacrificial scapegoat (Bon-po tech. term)
ཡ-སྟག-ནང-པ	(PH) entrails of a sacrificial scapegoat (Bon-po tech. term)
ཡབ-ཡུམ	(PH) diety and consort; buddha(s) and consort(s); parents
ཡག-ཤོས	(PH) best
ཡམས	(PH) plague; epidemic
ཡམས-ནད	(PH) plague; epidemic
ཡན	(PH) below; down
ཡན-ཆད	(PH) area and areas to the west
ཡན-ལག-བདུན-པ	(PH) Seven Limb Prayer
ཡན-ལག-གི-དམ-ཚིག	(PH) branch commitments
ཡང	(PH) light [as in not heavy]
ཡང-དག-བརྗོད-པ	(PH) correctly express
ཡང-དག-ཀུན-རྫོབ	(PH) real conventional [truth]
ཡང-དག-ཀུན-རྫོབ-ཀྱི-བདེན-པ	(PH) real conventional truth
ཡང-དག-ལམ	(PH) correct path
ཡང-དག-མཚན-ཉིད	(PH) pure character
ཡང-དག-པའི-ཀུན-རྫོབ	(PH) real conventional [truth]
ཡང-དག-པའི-ཀུན-རྫོབ-བདེན-པ	(PH) real conventional truth
ཡང-དག-པའི-ལམ-གྱི-ཆོས	(PH) attributes of the pure path
ཡང-དག-པའི-རིགས-ལམ	(PH) path of correct reasoning
ཡང-དག-པའི-སྨོན-ལམ	(PH) proper aspirational-prayer
ཡང-དག-པར-བརྗོད-པ	(PH) correctly express
ཡང-དག-པར-རྫོགས-པའི-སངས-རྒྱས-སེང-གེ-རྩལ	(PH) the completely perfect Buddha Siṃha-vikrama
ཡང-དག-སྨོན-པ	(PH) pure aspiration
ཡང-དང-ཡང-དུ	(PH) again and again
ཡང-ལོག	(PH) real and unreal; correct and mistaken
ཡང-ལོག-ཀུན-རྫོབ	(PH) real and unreal conventional [truths]
ཡང-རྩེ	(PH) peak; pinnacle
ཡང-སྔོན	(PH) even before
ཡང-སྲིད-པའི-ཉོན-མོངས-པ	(PH) the afflictions that give rise to another existence
ཡར	(PH) upper; upward
ཡར-གྱི-མཚམས-མེད	(PH) direct transition upward
ཡར-གྱི-ངོ	(PH) waxing moon
ཡར-མར	(PH) upward and downward; upper and lower
ཡར-སྣ	(PH) upper opening; upper end; latter half
ཡར-ཚེ	(PH) time of increase; time of waxing
ཡས-ཀྱི-མཆེ-བ	(PH) upper fangs
ཡས-རླུང	(PH) upper wind
ཡེ-ཤེས-བརྩོན-འགྲུས-རྩོམ-པ	(PH) initiation of effort [in dependence upon] exalted wisdom
ཡེ-ཤེས-སེམས-དཔའ	(PH) wisdom being (jñānasattva)
ཡེ-ཤེས-སྤྱན-ལྡན	(PH) endowed with the eye of the wisdom
ཡེར-པ	(PH) [Dra (brag)] Yerpa (cave retreat east of Lhasa)
ཡི-དམ-ཡབ-ཡུམ	(PH) tutelary deity with consort
ཡི-དམ-ཞི-ཁྲོ	(PH) peaceful and wrathful tutelary deities
ཡི-དམ-ཞི-ཁྲོའི-ལྷ-ཚོགས	(PH) collection of peaceful and wrathful tutelary deities
ཡི-གེ	(PH) phoneme
ཡི-གེ-གསར-པ	(PH) recent writings; new texts
ཡིའུ-རུའོ	(PH) You Ruo [direct disciple of Confucius]
ཡིའུ-ཙི	(PH) You Ruo [direct disciple of Confucius]
ཡིད-བྱེད-བཞིའི-གནས-སྐབས-ཅན	(PH) period of the four mental engagements
ཡིད-ཅན	(PH) sentient beings
ཡིད-ཆེས-ཀྱི-རྟགས-ཡང-དག	(PH) correct sign of belief
ཡིད-ཆེས-རྗེས-དཔག	(PH) inference through correct belief
ཡིད-གཉིས-ཅན	(PH) having doubt; being of two minds (on a subject)
ཡིད-ཀྱི-འདུས-ཏེ-རེག-པ	(PH) mental-contact
ཡིད-ཀྱི-མཚོ	(PH) Lake Mānasasarovara
ཡིད-ཀྱི-རོལ-པ	(PH) all-encompassing mind
ཡིད-ཀྱི-ཤིང-རྟ-ལ-དགའ-བ	(PH) Manorathanandin
ཡིད-ལ-བསམ-པ	(PH) aspiration; hope
ཡིད-ངོ	(PH) [appearance] to the mind; for such a mind
ཡིད-རབ-དང	(PH) sincere mind
ཡིད-ཤེས-འཁོར-གྱི-སེམས-བྱུང	(PH) mental factors accompanying a mental consciousness
ཡིད-ཤེས-རྒྱ-ཡན-པ	(PH) a dispersed mental consciousness
ཡིད-སྲུབས	(PH) confused-minded
ཡིག	(PH) syllable
ཡིག-གེ	(PH) syllable
ཡིག-གེ-དྲུག-པ	(PH) Six-syllable [mantra]
ཡིག-གེ-པར-བསྟེན	(PH) secretary; clerk
ཡིག-ཚགས	(PH) archival documents; official archival records
ཡོད-ངེས-ཅན	(PH) definitely existent phenomena
ཡོད-རྫས	(PH) existent substance
ཡོད-ཚུལ	(PH) way of existing; way in which [something] exists
ཡོལ	 (PH) transit|(PH) dawn 
ཡོན-ཏན-གྱི-གྲངས-འཕེལ-པའི-ཁྱད-པར	(PH) the feature of an increase in the number of qualities
ཡོན-ཏན-ཁྱད-པར-ཅན	(PH) having special qualities
ཡོན-ཏན-ལྷག-པའི-ཁྱད-པར	(PH) the features of surpassing qualities
ཡོན-ཏན-མཁན	(PH) those skilled in good qualities
ཡོན-ཏན-ཐོབ-ཚུལ	(PH) the mode of attaining qualities
ཡོངས	(PH) whole; entirety; all
ཡོངས-འཛིན-ཆེ-བ	(PH) senior tutor
ཡོངས-འཛིན-ཆུང-བ	(PH) junior tutor
ཡོངས-རྫོགས-བྱིན-རླབས	(PH) perfect blessing
ཡོངས-སུ-ཟླུམ-པོ	(PH) completely round; perfectly round
ཡོར-སྟོད	(PH) Yerpa county
ཡོས	(PH) grain; barley
ཡུ-གུར	(PH) Uyghur
ཡུད-ཀྱིས	(PH) instantaneously
ཡུད-པ-ཅན	(PH) Daṇḍin
ཡུལ-འབངས	(PH) peasant; serf
ཡུལ-བདེན-པ-བཞི	(PH) its object -- the four noble truths
ཡུལ-ཅན	(PH) object possessor; subject; subjective [consciousness]
ཡུལ-ཅན-ཐ-སྙད	(PH) conventional designations
ཡུལ-གྱི-འཛིན-སྟངས	(PH) mode of apprehension of objects
ཡུལ-ལྷ	(PH) local deity
ཡུལ-ཕྱོགས-ཀུན	(PH) all regions
ཡུལ-རྟོགས-ཚུལ	(PH) the mode of realizing objects
ཡུམ-བུ-ལྷ-ཁང	(PH) Yum-bu-lha-khang [Imperial palace of King Lha-tho-tho-ri-gnyan-btsan]
ཡུམ-བུ-ལྷ-མཁར	(PH) Yum-bu-lha-khang [Imperial palace of King Lha-tho-tho-ri-gnyan-btsan]
ཡུམ-གྱི-ལྷུམས	(PH) the mother's womb
ཡུན	(PH) duration; period; enduring
ཡུན-མི-རིང	(PH) not far off
ཡུན-རིང-སུ	(PH) for a long time
ཡུན-རིངས	(PH) long time
ཡུན-ཐུང-བ	(PH) short period of time
ཡུན-ཚད	(PH) length of time; period of time
ཡུངས-འབྲུ-ཙམ-པོ	(PH) about the size of a mustard seed
ཡུངས-མར	(PH) sesame oil
ཟ-འོག-ཕུག	(PH) Zaog ("Brocade") Cave [n. of Milarepa's cave]
ཟ-པོ	(PH) enjoyer; gluttony
ཟ-སྒོ	(PH) share of allowance
ཟབ	(PH) deep; profound
ཟབ-མོ-ཉིད	(PH) utterly profound
ཟད-དྲག-པ	(PH) extremely weakened; thoroughly exhausted
ཟས-གཙང-སྲས-པོ	(PH) son of Śuddhodana
ཟེ-བ	(PH) [lion's] mane; flowing mane
ཟེད-པ	(PH) upright; right-side-up
ཞ-བོ-མིག-ཅན	(PH) a cripple with good eyesight
ཞབས-ལྷམ	(PH) "shoes for the alms bowl"
ཞབས-ཕྱི	(PH) servant; service
ཞབས-རྡུལ	(PH) dust of the feet
ཞབས-སེན	(PH) toe nail
ཞབས-ཏོག	(PH) respectful practice; respectful service; respectful treatment
ཞབས-ཟུང	(PH) pair of feet
ཞག-རེ	(PH) each day
ཞལ-བ	(PH) plaster; plastered wall
ཞལ-ཅེ-བ	(PH) magistrate
ཞལ-ཆེ-བ	(PH) magistrate
ཞལ-གཅིག-ཕྱག-བཞི	(PH) one face and four arms
ཞལ-གྲངས	(PH) census; head-count
ཞལ-ལྟག-པ	(PH) head; neck
ཞལ-ངོ	(PH) monastic proctor
ཞལ-སྔ	 (PH) oral instructions; command|(PH) exalted presence 
ཞང-བློན	(PH) minor minister
ཞར	(PH) ancillary [topic]; secondary
ཞར-བ	(PH) ancillary [topic]; secondary [as opposed to primary, dngos]
ཞེས-འབྱུང-བ	(PH) [quotation marker]
ཞེས-གྲགས	(PH) renown through tradition
ཞི-བ-བགྲོད-པ-གཅིག-པུ-པའི-ཉན-ཐོས	(PH) Hearers who progresses solely to peace
ཞི-ལྷག-གཟུང-འབྲེལ	(PH) union of calm abiding and special insight
ཞི-ལྷག-ཟུང-འབྲེལ	(PH) union of calm abiding and special insight
ཞི-ལྷག-ཟུང-དུ-འབྲེལ	(PH) a union of calm abiding and special insight
ཞི-ལྷག-ཟུང-དུ-འབྲེལ-བ	(PH) a union of calm abiding and special insight
