སྐུ-མ-རྙོངས-པ	Fifty-seventh of the eighty minor marks.
སྲེད-མེད-ཀྱི-བུ	 An alternate name for Viṣṇu ({khyab 'jug}), which is also used for Brahmā and Kṛṣṇa. The Sanskrit is variously interpreted as “the path of human beings,” and “the son of man.” The Tibetan here is “the son of Nāra,” with Nāra translated as “one without craving.” | An alternate name for Viṣṇu. The Sanskrit is variously interpreted, including as “dwelling in water,” but is most obviously “the path of human beings.” | In Indian lore, incarnation of Viṣṇu, whose strength was legendary (see Abhi­dharma­kośa VII, pp. 72-74). | In the ancient Indian tradition, the son of the first man; later seen as a powerful avatar of Viṣṇu, but also as the progenitor of Brahmā. In Buddhist texts, he figures in various ways including (as he does in most of this text) as a bodhisattva, while still one of the most powerful gods of the Realm of Form (as in 1.21).| In the ancient Indian tradition, the son of the first man; later seen as a powerful avatar of Viṣṇu, but also as the progenitor of Brahmā. In Buddhist texts, he figures in various ways including (as he does in most of this text) as a bodhisattva, while still one of the most powerful gods of the Realm of Form (as in 1.21). | Literally, “Child of No Craving.” Name of Viṣṇu. | One of the ten incarnations of the Hindu deity Viṣṇu, embodying superhuman strength. |An alternate name for Viṣṇu. The Sanskrit is variously interpreted, including as “dwelling in water,” but is most obviously “the path of human beings.” 
སྲེད-མེད-བུ	 A name of Viṣṇu.|A name of Viṣṇu. 
མཐུ-བོ-ཆེ	 An alternate name for Viṣṇu. The Sanskrit is variously interpreted, including as “dwelling in water,” but is most obviously “the path of human beings.”|An alternate name for Viṣṇu. The Sanskrit is variously interpreted, including as “dwelling in water,” but is most obviously “the path of human beings.” 
ན-ལས-བྱིན	 Bodhisattva.|Bodhisattva. 
ན-རོ-པ	 Indian scholar and practitioner (956 - 1041), a major figure in the transmission of tantric Buddhism to Tibet; earlier in his life he was an important paṇḍita of Nālandā, but left to become a yogi and siddha, the student of Tilopā, and later the teacher of Kukkuripa, Marpa, and others.\nNāropadā|Indian scholar and practitioner (956 - 1041), a major figure in the transmission of tantric Buddhism to Tibet; earlier in his life he was an important paṇḍita of Nālandā, but left to become a yogi and siddha, the student of Tilopā, and later the teacher of Kukkuripa, Marpa, and others.\nNāropadā 
རྟོགས-པར-བརྗོད-པའི-སྡེ	Ninth of the twelve branches of the scriptures.
ཉི-ཚེ-བའི-སྤྱོད-པ	This term refers to the restricted, biased, narrow-minded attitudes and practices of the disciple vehicle, which itself is called Skt. prādeśikāyāna (“limited, or narrow-minded, vehicle”) (Mvy, 1254). It is narrow-minded because it posits the reality of the elements of existence as apparently perceived and because it aspires only to personal liberation, not to the exaltation of buddhahood.
ཉི-ཚེ-བའི-ཆོས	I.e. the teachings of the disciple vehicle (śrāvakayāna). See “narrow-minded attitudes.”
ནུ-ཌི	 In the Tibetan, Śyāmā and Naṭi are confounded into one, {sh+ya ma nu Di}).|In the Tibetan, Śyāmā and Naṭi are confounded into one, {sh+ya ma nu Di}). 
བྱ-སྐྱིབས-སུ-མ-བྱས-པ	An acceptable form of shelter for a monk, as identified in the Four Resources section of the ordination ritual.
དེ-བཞིན-ཉིད	 Literally, “thusness,” as it is indescribable.| The ultimate nature of things, or the way things are in reality, as opposed to the way they appear to non-enlightened beings. |Literally, “thusness,” as it is indescribable. 
ཆོས-རྟོགས-པའི-བཟོད-པ	 Literally, “tolerance that understands phenomena.” This denotes receptivity to the non-arising nature of all things, identified with emptiness.\ntolerance that understands phenomena| Literally, “tolerance that understands phenomena.” This denotes receptivity to the non-arising nature of all things, identified with emptiness.\ntolerance that understands phenomena |Literally, “tolerance that understands phenomena.” This denotes receptivity to the non-arising nature of all things, identified with emptiness.\ntolerance that understands phenomena 
སྐྱུག-བྲོ-བ	Symptom that may be evidence of an illness considered an impediment to ordination\nSee also http://read.84000.co/translation/UT22084-001-001.html#UT22084-001-001-1011.
ལྟེ-བ-གཡས-སུ-འཁྱིལ-བ	Twenty-eighth of the eighty minor marks.\ncurls to the right
ལྟེ-བ-མ-བྱེ-བ-དག	Fifty-sixth of the eighty minor marks.
ལྟེ-བ-ཟབ-པ	Twenty-sixth of the eighty minor marks.
ལྟེ-བ-ཤིན-ཏུ-ཟླུམ-པ	Twenty-seventh of the eighty minor marks.
གནས-ངན-ལེན	That is to say, negativity of body, speech, and mind.
ཀཱ-ཤ-མར-དྷ	Cassia occidentalis.
ནེལ-པ-པནདི-ཏ	 A 13th century Tibetan historian. Personal name: Drakpa Mönlam Lodrö ({grags pa smon lam blo gros}).| A 13th century Tibetan historian. Personal name: Drakpa Mönlam Lodrö ({grags pa smon lam blo gros}). |A 13th century Tibetan historian. Personal name: Drakpa Mönlam Lodrö ({grags pa smon lam blo gros}). 
རྡོ-རྗེ-དབྱིང-ཀྱི-དབང-ཕྱུག-མའི-རྩ	 The most sensitive spot of the woman’s genitals.|The most sensitive spot of the woman’s genitals. 
མ-ནིང	 An imprecise, catchall term, difficult to translate. It designates people with various kinds of unclear gender status, including but not restricted to physical intersex conditions and hermaphrodites. It can, for example, also mean a eunuch, or from the Vinaya account of the expulsion of a paṇḍaka , a male who sought other males to have sex with him. See also the glossary entry in http://read.84000.co/translation/toh1-1.html#UT22084-001-001-2567. It could also be applied to a transgender male, not necessarily a eunuch, such as the hijras. Hijras, men who dress as women, have been an established part of Indian society since ancient times and all-hijra communities still have a significant societal role. Hijra is a more recent term with a Hindustani-Urdu origin.| An imprecise, catchall term, difficult to translate. It designates people with various kinds of unclear gender status, including but not restricted to physical intersex conditions and hermaphrodites. It can, for example, also mean a eunuch, or from the Vinaya account of the expulsion of a paṇḍaka , a male who sought other males to have sex with him. See also the glossary entry in http://read.84000.co/translation/toh1-1.html#UT22084-001-001-2567. It could also be applied to a transgender male, not necessarily a eunuch, such as the hijras. Hijras, men who dress as women, have been an established part of Indian society since ancient times and all-hijra communities still have a significant societal role. Hijra is a more recent term with a Hindustani-Urdu origin. | In the Mūlasarvāstivāda Vinaya, the term paṇḍaka (Tib. {ma ning}) encompasses diverse physiological and behavioral conditions, such as intersexuality, erectile dysfunction, and fetishes that imply an inability to engage in normative sexual behavior. Five different types of paṇḍaka are identified in the text (see http://read.84000.co/translation/UT22084-001-001.html#UT22084-001-001-1616): congenital hermaphrodites, sequential hermaphrodites, fetishists, voyeurs, and those who are sexually impaired (see glossary entries for each). The criteria for being designated a paṇḍaka are not strictly physiological but neither are they grounded exclusively in gender identity or sexual orientation. Paṇḍaka is, in effect, a catchall category and, as such, defies easy translations like “neuter,” “androgyne,” “intersexual,” “transgender,” or “paraphiliac.”\nSee also Gyatso (2003), Cabezón (1993), Zwilling (1992), and Likhitpreechakul (2012). |The Tibetan term {ma ning} is broader than any existing English term and refers not only to those whose sexual characteristics are not clearly defined as male or female (intersexual), but also to those who do not have any proper gender organs, those who may have both, and those who are neuter, infertile, or who simply have physical or non-physical characteristics of a {ma ning}. 
སྲོག-ཆགས-ཐམས-ཅད-ཀྱིས-མཐོང-ཡང-བརྙས-པར-མི-བྱེད	 Sixty-sixth of the eighty minor marks.\nnever mistreated, though visible to all creatures|Sixty-sixth of the eighty minor marks.\nnever mistreated, though visible to all creatures 
