འབད-པ	compare: {རྩོལ་བ}, exertion; {བརྩོན་འགྲུས}, effort
སྤྱི-མཚན	spyi'i mtshan nyid; Comment: This term is used in two markedly different ways, generally characterized phenomenon and general character. Generally characterized phenomena (spyi mtshan) are solely permanent phenomena such as uncompounded space ('dus ma byas kyi nam mkha'). However, general characteristic, or general character, (spyi'i mtshan nyid) refers to a character of an object that is shared with other objects; for instance, impermanence is a general characteristic of consciousness (shes pa) and is also a general characteristic of form (gzugs). Similarly, specifically characterized phenomena (rang mtshan) are solely impermanent phenomena such as consciousness (shes pa) and form (gzugs), but the specific characteristic, or specific character, (rang gi mtshan nyid) of an object is its own definining character such as that which is luminous and knowing (gsal zhing rig pa), which is the definition of consciousness (shes pa), an impermanent phenomena; and the non-affirming negative which is a mere negation of obstructive contact (thogs reg bkag tsam gyi med dgag), which is the definition of uncompounded space, a permanent phenomena.
སྤྱི-ཁོ-ན	Illustration: existent (yod pa)
སྤྱིའི-མཚན-ཉིད	see: {སྤྱི་མཚན}
སྤྱིར-དོན-སྤྱི	one of the two types of meaning generalities
སྤྱོད-རྒྱུད	Performance Tantra; Comment: This is the second of the four divisions of the tantras in the New Schools of Tibetan Buddhism and some Indian sources: (1) Action Tantra (bya rgyud, kriyAtantra), (2) Performance Tantra (spyod rgyud, caryAtantra), (3) Yoga Tantra (rnal 'byor rgyud, yogatantra), and (4) Highest Yoga Tantra (bla med kyi rgyud, anuttarayogatantra).
སྲ-ཞིང-འཐས-པ	definition of earth (sa)
སྲིད-རྩེ	highest level of the three realms; fourth of the four formless absorptions (gzugs med snyoms 'jug, arUpya-samApatti); for others see: {གཟུགས་མེད་སྙོམས་འཇུག}
སྲིད-པའི-ཡན-ལག-གི-བག-ཆགས	bhavAGgavAsanA; predispositions of the branches of cyclic existence; Comment: There are four types of predispositions in Ge-luk-b#a explanations of Mind-Only (sems tsam): predispositions of [perceptions of] similar type (rigs mthun gyi bag chags); predispositions of verbalization (mngon brjod kyi bag chags, abhilApavAsanA); predispositions of the view of self (bdag lta'i bag chags, AtmadRStivAsanA); bhavAGgavAsanA (srid pa'i yan lag gi bag chags, bhavAGgavAsanA.
སྲིད-པའི-རྩེ-མོ	the highest level within the three realms; fourth of the four formless absorptions (gzugs med snyoms 'jug, arUpya-samApatti); for others see: {གཟུགས་མེད་སྙོམས་འཇུག}
སྲིན-མཛུབ	get ex from Dor
སྲིན-པོ	ck Tshig; ck spelling, definition in M-W; add female form to "srin mo" record; from Dor III 32b/ 238 SW added this record
སྲོག-རྩོལ	a form of tantric meditation
སྲོལ	Tibetan of ex. 2 originally said: ... grub ma mtha'i srol ... (T)
སྲོལ-གཏོད	SW added this record
སྲོང	SW added this entry
སྲུང-བ-མ	Comment: One of the eighteen VaibhASika Schools, according to some renditions; see Meditation on Emptiness, pp. 717-718.
སྟ-གོན	SW added this record; Sanskrit of sta gon?; ck Eng. tr.
སྟེན	Tenses were originally: bsten / sden / bstend / sten (T)
སྟེང-དུ	SW added last Eng "in relation to" {ཕ༹ྲོམ་Sཨ་ལམ་ཏེxཏ}
སྟེང-ནས	Check Ex 1 English (T)
སྟོན-པ-སངས-རྒྱས	example of valid being (skyes bu tshad ma)
སྟོང-པ-ཉིད-ཀྱི-ལྷ	emptiness deity; Comment: This is the first of six stages in deity yoga meditation in the Concentration Concentration Tantra (bsam gtan phyi ma, dhyAnottara), an Action Tantra: ultimate deity or emptiness deity or suchness deity (don dam pa'i lha, stong pa nyid kyi lha, de kho na nyid kyi lha); sound deity (sgra'i lha); letter deity (yi ge'i lha); form deity (gzugs kyi lha); seal deity (phyag rgya'i lha); sign deity (mtshan ma'i lha).
སྟོང-པ-ཉིད-སྨོས-པའི-རྣམ-པས	(PH) take out of instrumental case?
སྟོང-པ-ཉིད-ལས-ཀྱང-གཟུགས-གཞན-མ-ཡིན-ཏེ-གཟུགས-ཉིད-སྟོང-པ-ཉིད-སྟོང-པ-ཉིད-གཟུགས-སོ	Could go as an example of stong pa nyid. (T)
སྟོང-ཉིད-མངོན-སུམ-དུ-རྟོགས-པའི-ཤེས-རབ-དང-སྙིང-རྗེ-ཆེན-པོས-ཟིན-པའི-བྱང-འཕགས-ཀྱི-མཁྱེན-པ	definition of ground of a Bodhisattva Superior (byang sems 'phags pa'i sa)
སྟོང-ཉིད-བདུན-ཅུ-པ	one of the "Six Collections of Reasonings" (rigs tshogs drug); see rigs tshogs drug for others
ཏ-ཐཱ-ག-ཏ	tathAgata; SW changed the entry to "tathAgata" from "tathagata".
ཐ-དད	Comment: Difference can refer merely to nominal difference, such as the difference between bum pa and pot; Examples of different phenomena are (1) the two, permanent and functioning thing (rtags dngos gnyis); these are mutually exclusive ('gal ba) and a dichotomy; (2) the two, object of knowledge and existent (shes bya dang yod pa gnyis); these are equivalent (don gcig) but not one (gcig); (3) the two, pillar and pot (ka bum gnyis); (4) the two, pot and the impermanence of pot (bum pa dang bum pa steng gi mi rtag pa gnyis); these are one entity but different isolates (ngo bo gcig la ldog pa tha dad).
ཐ-མལ-པའི-སེམས	Comment: Metaphor used in the N#ying-ma Order for an accomplished yogi's experience of fundamental mind, suggesting the at-homeness of the fundamental innate mind of clear light when experienced by one who has overcome the initial, distorted fear and sense of annihilation.
ཐ-གུའི-ལྟོ	Garlanded Belly; Comment: also known as viSNu. Gung-tang reports that during his youth ViShNu wore a garland of flowers around his waist and that according to one story his wife wanted to put a garland of flowers around his head, but the garland reached only his waist, this being why he is called "Garlanded Belly."
ཐབས	Comment: Gung-tang makes an important distinction between thabs (upAya) as compassion and thabs (upAya) as skillful means used to lead trainees by way of various techniques; he speaks from a tradition that distinguishes these two. It appears that in many Great Vehicle traditions, especially in East Asia, the two are conflated.
ཐབས-ཀྱི-ཚུལ	many modes of skillful means; Comment: Gung-tang identifies the "many modes of skillful means" as Buddha's temporarily teaching merely a coarse form of selflessness.
ཐལ-ལྕག	SW added this record
ཐལ-རང	the two types of proponents of the Middle Way School (mAdhyamika)\nI added English to English (T)
ཐལ-འགྱུར-བ	a proponent of the Middle Way Consequence (prAsaGgika-madhyamaka) school, one of the two main schools of the Middle Way school
ཐལ-འགྱུར-ཡང-དག	one of the two types of consequences (thal 'gyur); the other is facsimile of a consequence (thal 'gyur ltar snang)\nNeed English for definition (T)
ཐལ-འགྱུར-ཡང-དག-གང-ཞིག-བཟློག-དོན-ཚུལ-གསུམ-ཚང-བ	definition of correct consequence that impels a proof (sgrub byed 'phen pa'i thal 'gyur yang dag)\nCheck English (T)
ཐལ-འགྱུར-དུ-བཀོད-པ	Comment: This is the definition of a consequence (thal 'gyur).
ཐལ-འགྱུར-ལྟར-སྣང	Comment: This is one of the two types of consequence (thal 'gyur); the other is correct consequence (thal 'gyur yang dag).
ཐམས-ཅད-ཡོད-པར-སྨྲ-བ	a school of Buddhism that asserted the existence of real dharmas
ཐམས-ཅད-པ-རྣམ-པར-སྣང-མཛད-པ	Check entry. Is this the same as rnam par snang mdzad ? (T)
ཐང	(PH) added dynasty dates
ཐར-ལམ-གསལ-བྱེད	Gyel-tsap's commentary on DharmakIrti's Commentary on (DignAga's) Compendium of Valid Cognition (pramANavArttika)
ཐེ-ཚོམ	doubt; Comment: This is one of the six root afflictions (rtsa nyon, mUlakleza): desire ('dod chogs, rAga); (2) anger (khong khro, pratigha); (3) pride (nga rgyal, mAna); (4) ignorance (ma rig pa, avidyA); (5) doubt (the tshom, vicikitsA); (6) afflicted view (lta ba nyon mongs can, kliSTa-dRSTi). This is also one of the seven types of knowledge and awareness (blo rig); for the others see blo rig.
ཐེབས	Check tenses. Thumi (p.122) list those above as meaning: To be fallen in the hands of; to be accurate; etc. ??? (T)
ཐེག-དམན	Comment: The term "Lesser Vehicle" has its origin in the writings of Great Vehicle (theg chen, mahAyAna) authors and was, of course, not used by those to whom it was ascribed. Substitutes such as "non-MahAyAna," "NikAya Buddhism," and "TheravAdayAna" have been suggested in order to avoid the pejorative sense of "Lesser." However, "Lesser Vehicle" is a convenient term in this particular context for a type of tenet system or practice that is seen in Tibetan scholarship to be surpassed but not negated by a "higher" system. The "Lesser Vehicle" is not despised, most of it being incorporated into the "Great Vehicle."
ཐེག-པ-གསུམ-གང-རུང-གི-འཕགས-ལམ-མ-ཐོབ-པའི-གང-ཟག	definition of ordinary being (so so'i skye bo)
ཐེག-པ-ལ-གསར-དུ-ཞུགས-པ	Entry originially had theg pa la gsar du (=nava) zhugs pa. I assume nava is a Sanskrit equivalent not appearing in Conze. What to do? (T)
ཐེག-ཆེན-གྱི-མི-སློབ-ལམ	Comment: This is one of the five paths of the Great Vehicle: path of accumulation (tshogs lam); path of preparation (sbyor lam); path of seeing (mthong lam); path of meditation (sgom lam); and path of no more learning (mi slob lam).
ཐེག-ཆེན-གྱི-ཐར-པར-བགྲོད-པའི-གོ-སྐབས-ཕྱེ-ཤུལ-དུ-གྱུར-པའི-བྱང-སེམས-ཀྱི-མངོན-རྟོགས	Comment: definition of Bodhisattva path (byang sems kyi lam)
ཐེག-ཆེན-གྱི-རྣལ-འབྱོར-མངོན-སུམ	one of the three types of yogic direct perception (rnal 'byor mngon sum); for others see: {རྣལ་འབྱོར་མངོན་སུམ}
ཐེག-ཆེན-གྱི-སྒོམ-ལམ	Comment: This is one of the five paths of the Great Vehicle: path of accumulation (tshogs lam); path of preparation (sbyor lam); path of seeing (mthong lam); path of meditation (sgom lam); and path of no more learning (mi slob lam).
ཐེག-ཆེན-གྱི-ཚོགས-ལམ	Comment: This is one of the five paths of the Great Vehicle: path of accumulation (tshogs lam); path of preparation (sbyor lam); path of seeing (mthong lam); path of meditation (sgom lam); and path of no more learning (mi slob lam).
ཐེག-ཆེན-གྱི-བྱང-ཆུབ-ཏུ-བགྲོད-པར-བྱེད-པའམ-དེར-བགྲོད-ཟིན-པ-གང-རུང-གིས-བསྡུས-པའི-ཐེག-ཆེན-གྱི-མཁྱེན-པ	Comment: This is the definition of Great Vehicle path (theg chen gyi lam).
ཐེག-ཆེན-གྱི-སྦྱོར-ལམ	Comment: This is one of the five paths of the Great Vehicle: path of accumulation (tshogs lam); path of preparation (sbyor lam); path of seeing (mthong lam); path of meditation (sgom lam); and path of no more learning (mi slob lam).
ཐེག-ཆེན-གྱི-མཐོང-ལམ	Comment: This is one of the five paths of the Great Vehicle: path of accumulation (tshogs lam); path of preparation (sbyor lam); path of seeing (mthong lam); path of meditation (sgom lam); and path of no more learning (mi slob lam).
ཐེག-ཆེན-གྱི-མཐོང-ལམ-རྣམ-གྲོལ-ལམ-ལས-ལངས-པའི-མཁྱེན-པ-ཡང-ཡིན-རང-རྒྱུད-ལྡན-གྱི-གང-ཟག-གི-རྒྱུད-ལ-མངོན-གྱུར-དུ-འབྱུང-བའི-ཐེག-ཆེན-གྱི-བདེན-པ-མངོན-རྟོགས	Comment: This is the definition of an exalted wisdom of subsequent attainment of a Great Vehicle path of seeing (theg chen gyi mthong lam rjes thob ye shes).
ཐེར-ཟུག-གི-དུས	Compare: {རྟག་པ་རྟག་པའི་དུས}, permanently
ཐིག	SW added entry.
ཐིག-གདབས	get "thig gdabs" sp, Eng, ex from Lag Len SW added entry.
ཐོ-ཐོར-ཚུགས	ck eng; get ex SW added this entry One of the marks/signs of a Buddhaget and fix
ཐོབ-པ-དོན-དམ	Comment: This is one of the three meanings of ultimate (don dam, paramArtha) according to Matireya's Differentiation of the Middle and Extremes (III.11ab): object-ultimate (don don dam, i.e., thusness); attainment-ultimate (thob pa don dam, i.e., nirvANa); and practice-ultimate (sgrub pa don dam, true paths). BJ calls them terminological divisions, not actual divisions.
ཐོད-རྒལ	Comment: In the Great Completeness (rdzogs chen) in N#ying-ma, essential purity (ka dag) is paired with breakthrough (khregs chod; literally, "breaking through the hard") while spontaneity (lhun grub) is paired with leap-over (thod rgal) in ka dag khregs chod lhun grub thod rgal.
ཐོག-མ-དང-བར-དང-ཐ-མར-དགེ-བ	Is this the title of a book? (T)
ཐོགས-པ	get ex. from Ship
ཐོགས-རེག-གཅིག-པོ-བཀག-ཙམ-གྱི-མེད-དགག	definition of space (nam mkha')
ཐོགས-བཅས-ཀྱི-གཟུགས-མེད	one definition of space (nam mkha')
ཐོལ	Thumi (p.122) has the above tenses and the following English: reveal; come outward; confess (T)
ཐོས-པ	hearing is one of the six powers (stobs drug)
